age,industry,currency,country,years_experience,years_experience_field,education,gender,total_salary,salary_COP
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,College degree,Woman,105000.0,420000000.0
25-34,Government,USD,United States,2 - 4 years,1 year or less,College degree,Woman,68000.0,272000000.0
25-34,Education,USD,United States,8 - 10 years,5-7 years,College degree,Woman,66000.0,264000000.0
35-44,Manufacturing,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,145000.0,580000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,141900.0,567600000.0
25-34,Other,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,68000.0,272000000.0
25-34,Healthcare,GBP,United Kingdom,11 - 20 years,5-7 years,College degree,Man,37638.0,188190000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,135283.0,541132000.0
25-34,Finance,GBP,United Kingdom,2 - 4 years,2 - 4 years,College degree,Woman,78000.0,390000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,97500.0,390000000.0
25-34,Other,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,68500.0,274000000.0
25-34,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,51350.0,205400000.0
25-34,Media & Publishing,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,156000.0,624000000.0
25-34,Other,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,40830.0,163320000.0
35-44,Finance,USD,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,58500.0,234000000.0
25-34,Other,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,117600.0,470400000.0
25-34,Arts & Culture,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,68000.0,272000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,165000.0,660000000.0
35-44,Retail & E-commerce,USD,United States,8 - 10 years,5-7 years,College degree,Woman,126900.0,507600000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,68000.0,272000000.0
25-34,Marketing & PR,CAD,Canada,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,60000.0,192000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,33000.0,132000000.0
25-34,Technology,USD,United States,1 year or less,1 year or less,PhD,Woman,213000.0,852000000.0
35-44,Utilities & Telecommunications,CAD,Canada,11 - 20 years,11 - 20 years,Master's degree,Man,240000.0,768000000.0
25-34,Education,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,59000.0,236000000.0
35-44,Real Estate,USD,United States,21 - 30 years,11 - 20 years,Some college,Woman,122000.0,488000000.0
35-44,Finance,CHF,Switzerland,11 - 20 years,8 - 10 years,College degree,Woman,103000.0,442900000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,84000.0,336000000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,5-7 years,College degree,Woman,72000.0,288000000.0
25-34,Media & Publishing,USD,United States,5-7 years,5-7 years,College degree,Woman,65000.0,260000000.0
35-44,Other,USD,United States,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,108796.0,435184000.0
25-34,Education,GBP,United Kingdom,5-7 years,5-7 years,Master's degree,Woman,38313.0,191565000.0
25-34,Healthcare,USD,United States,11 - 20 years,2 - 4 years,College degree,Man,50000.0,200000000.0
25-34,Marketing & PR,USD,Other,8 - 10 years,8 - 10 years,College degree,Woman,123500.0,494000000.0
35-44,Healthcare,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,100000.0,400000000.0
25-34,Technology,USD,United States,5-7 years,2 - 4 years,College degree,Non-binary,165000.0,660000000.0
45-54,Technology,USD,United States,31 - 40 years,31 - 40 years,Master's degree,Man,160000.0,640000000.0
25-34,Government,USD,United States,2 - 4 years,1 year or less,College degree,Woman,68000.0,272000000.0
45-54,Technology,USD,United States,31 - 40 years,31 - 40 years,Some college,Man,120000.0,480000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Man,225000.0,900000000.0
25-34,Government,GBP,United Kingdom,8 - 10 years,5-7 years,College degree,Woman,40050.0,200250000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,50000.0,200000000.0
25-34,Nonprofit,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,60000.0,240000000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,170150.0,680600000.0
25-34,Education,USD,United States,5-7 years,5-7 years,College degree,Woman,52000.0,208000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,PhD,Woman,143800.0,575200000.0
35-44,Nonprofit,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,79000.0,316000000.0
18-24,Technology,USD,United States,1 year or less,31 - 40 years,College degree,Man,47260.0,189040000.0
25-34,Healthcare,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,144000.0,576000000.0
25-34,Other,USD,United States,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,173000.0,692000000.0
35-44,Other,CHF,Other,11 - 20 years,11 - 20 years,PhD,Woman,175000.0,752500000.0
25-34,Marketing & PR,USD,United States,5-7 years,2 - 4 years,College degree,Woman,65000.0,260000000.0
45-54,Real Estate,USD,United States,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,65000.0,260000000.0
55-64,Manufacturing,USD,United States,41 years or more,21 - 30 years,College degree,Man,213000.0,852000000.0
45-54,Other,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,21000.0,84000000.0
18-24,Education,USD,United States,1 year or less,1 year or less,Master's degree,Man,30000.0,120000000.0
25-34,Technology,USD,United States,8 - 10 years,5-7 years,College degree,Woman,265000.0,1060000000.0
25-34,Real Estate,USD,United States,8 - 10 years,5-7 years,College degree,Woman,113400.0,453600000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,74850.0,299400000.0
35-44,Utilities & Telecommunications,CAD,Canada,11 - 20 years,8 - 10 years,College degree,Woman,78700.0,251840000.0
18-24,Other,USD,United States,1 year or less,2 - 4 years,College degree,Woman,34000.0,136000000.0
35-44,Government,USD,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,53000.0,212000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,68000.0,272000000.0
18-24,Finance,USD,United States,1 year or less,1 year or less,Master's degree,Woman,57000.0,228000000.0
25-34,Nonprofit,USD,United States,5-7 years,1 year or less,College degree,Woman,50000.0,200000000.0
25-34,Manufacturing,USD,United States,5-7 years,2 - 4 years,Master's degree,Man,103000.0,412000000.0
25-34,Technology,AUD/NZD,New Zealand,2 - 4 years,2 - 4 years,College degree,Woman,82500.0,231000000.0
25-34,Finance,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,117500.0,470000000.0
35-44,Education,GBP,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,18720.0,93600000.0
25-34,Arts & Culture,USD,United States,11 - 20 years,8 - 10 years,College degree,Man,67000.0,268000000.0
35-44,Real Estate,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,100250.0,401000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,163600.0,654400000.0
35-44,Technology,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Man,270000.0,1080000000.0
25-34,Manufacturing,USD,United States,5-7 years,11 - 20 years,College degree,Woman,62400.0,249600000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,75000.0,300000000.0
25-34,Healthcare,GBP,United Kingdom,1 year or less,5-7 years,College degree,Man,38890.0,194450000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,College degree,Woman,75000.0,300000000.0
35-44,Science & Research,EUR,Germany,5-7 years,2 - 4 years,PhD,Woman,72000.0,324000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,College degree,Woman,60000.0,240000000.0
35-44,Legal,USD,United States,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,119000.0,476000000.0
35-44,Marketing & PR,USD,United States,21 - 30 years,5-7 years,College degree,Woman,75600.0,302400000.0
35-44,Education,CAD,Canada,11 - 20 years,11 - 20 years,Master's degree,Woman,84000.0,268800000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,177000.0,708000000.0
25-34,Healthcare,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,34620.0,138480000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,Master's degree,Non-binary,80000.0,320000000.0
35-44,Arts & Culture,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,98000.0,392000000.0
55-64,Legal,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,197000.0,788000000.0
35-44,Healthcare,USD,Remote,11 - 20 years,11 - 20 years,Some college,Woman,97750.0,391000000.0
25-34,Technology,USD,United States,2 - 4 years,1 year or less,College degree,Woman,68250.0,273000000.0
25-34,Technology,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,60200.0,240800000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,220000.0,880000000.0
45-54,Education,CAD,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,80000.0,256000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,College degree,Woman,116900.0,467600000.0
25-34,Government,USD,United States,2 - 4 years,5-7 years,Master's degree,Woman,65000.0,260000000.0
25-34,Marketing & PR,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,148000.0,592000000.0
35-44,Other,GBP,United Kingdom,11 - 20 years,8 - 10 years,College degree,Woman,26360.0,131800000.0
25-34,Government,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,104000.0,416000000.0
25-34,Healthcare,USD,United States,8 - 10 years,5-7 years,College degree,Woman,52500.0,210000000.0
25-34,Finance,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,111000.0,355200000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,61000.0,244000000.0
25-34,Science & Research,USD,United States,2 - 4 years,5-7 years,PhD,Woman,50000.0,200000000.0
25-34,Other,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,96000.0,384000000.0
25-34,Nonprofit,GBP,United Kingdom,8 - 10 years,8 - 10 years,Master's degree,Woman,37200.0,186000000.0
25-34,Technology,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Man,135178.0,540712000.0
25-34,Finance,USD,United States,5-7 years,5-7 years,Some college,Woman,28800.0,115200000.0
35-44,Retail & E-commerce,CAD,Canada,21 - 30 years,21 - 30 years,High School,Woman,127000.0,406400000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,65000.0,260000000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,66844.0,267376000.0
35-44,Nonprofit,USD,United States,11 - 20 years,2 - 4 years,College degree,Woman,50000.0,200000000.0
55-64,Other,USD,United States,21 - 30 years,21 - 30 years,PhD,Man,168000.0,672000000.0
25-34,Legal,USD,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,220000.0,880000000.0
25-34,Technology,GBP,United Kingdom,5-7 years,5-7 years,College degree,Man,80000.0,400000000.0
35-44,Other,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,56000.0,224000000.0
25-34,Arts & Culture,USD,United States,2 - 4 years,2 - 4 years,College degree,Man,125000.0,500000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,115000.0,460000000.0
18-24,Finance,USD,United States,1 year or less,1 year or less,College degree,Woman,65000.0,260000000.0
18-24,Social Services,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,39000.0,156000000.0
45-54,Government,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,77350.0,309400000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Woman,44000.0,176000000.0
25-34,Other,GBP,United Kingdom,1 year or less,1 year or less,Master's degree,Woman,33100.0,165500000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,College degree,Woman,61500.0,246000000.0
25-34,Legal,USD,United States,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,67500.0,270000000.0
25-34,Media & Publishing,USD,Other,2 - 4 years,2 - 4 years,College degree,Woman,42000.0,168000000.0
25-34,Media & Publishing,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,63860.0,255440000.0
25-34,Other,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,106000.0,339200000.0
25-34,Utilities & Telecommunications,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,83200.0,332800000.0
25-34,Other,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,75000.0,300000000.0
18-24,Food & Beverage,USD,United States,1 year or less,1 year or less,Some college,Non-binary,20800.0,83200000.0
25-34,Other,USD,United States,5-7 years,1 year or less,College degree,Woman,95000.0,380000000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,220000.0,880000000.0
25-34,Finance,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Man,52000.0,208000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,Master's degree,Woman,52500.0,210000000.0
25-34,Finance,USD,United States,5-7 years,5-7 years,Some college,Woman,41600.0,166400000.0
35-44,Finance,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,95700.0,382800000.0
25-34,Technology,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,144800.0,579200000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,101143.0,404572000.0
35-44,Legal,USD,United States,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,92428.0,369712000.0
25-34,Education,GBP,United Kingdom,5-7 years,2 - 4 years,Master's degree,Woman,19000.0,95000000.0
25-34,Manufacturing,USD,United States,5-7 years,2 - 4 years,Master's degree,Man,78277.0,313108000.0
25-34,Arts & Culture,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,260000.0,1040000000.0
25-34,Other,USD,United States,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer,30000.0,120000000.0
25-34,Hospitality,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,40000.0,160000000.0
35-44,Healthcare,USD,United States,11 - 20 years,2 - 4 years,College degree,Woman,59500.0,238000000.0
25-34,Manufacturing,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,97000.0,388000000.0
18-24,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Man,80300.0,321200000.0
45-54,Other,USD,United States,31 - 40 years,21 - 30 years,College degree,Woman,61360.0,245440000.0
35-44,Technology,USD,Other,11 - 20 years,11 - 20 years,Master's degree,Woman,100000.0,400000000.0
35-44,Government,USD,United States,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,80000.0,320000000.0
35-44,Healthcare,USD,United States,8 - 10 years,5-7 years,College degree,Woman,52000.0,208000000.0
35-44,Finance,USD,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,70000.0,280000000.0
35-44,Other,GBP,United Kingdom,11 - 20 years,11 - 20 years,College degree,Non-binary,75000.0,375000000.0
35-44,Finance,USD,United States,21 - 30 years,21 - 30 years,High School,Man,108000.0,432000000.0
25-34,Media & Publishing,USD,United States,8 - 10 years,8 - 10 years,College degree,Man,72600.0,290400000.0
45-54,Other,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,58000.0,232000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,85000.0,340000000.0
25-34,Manufacturing,USD,United States,5-7 years,2 - 4 years,Master's degree,Man,78000.0,312000000.0
25-34,Arts & Culture,USD,United States,11 - 20 years,11 - 20 years,Some college,Woman,105000.0,420000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,Some college,Non-binary,74880.0,299520000.0
25-34,Manufacturing,USD,United States,11 - 20 years,2 - 4 years,College degree,Woman,52000.0,208000000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,Master's degree,Woman,81000.0,324000000.0
35-44,Finance,USD,United States,5-7 years,5-7 years,College degree,Woman,70500.0,282000000.0
35-44,Finance,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,100000.0,400000000.0
45-54,Government,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,178400.0,713600000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,128000.0,512000000.0
35-44,Nonprofit,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,42000.0,168000000.0
25-34,Nonprofit,GBP,United Kingdom,1 year or less,1 year or less,Master's degree,Woman,19671.0,98355000.0
25-34,Utilities & Telecommunications,USD,Sweden,1 year or less,1 year or less,Master's degree,Woman,47000.0,188000000.0
25-34,Hospitality,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,50500.0,202000000.0
25-34,Finance,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,83000.0,332000000.0
35-44,Finance,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,104000.0,416000000.0
25-34,Marketing & PR,USD,United States,5-7 years,2 - 4 years,College degree,Man,13500.0,54000000.0
45-54,Other,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,104000.0,416000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,Some college,Man,55000.0,220000000.0
35-44,Technology,EUR,Germany,21 - 30 years,21 - 30 years,Some college,Man,76000.0,342000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,134500.0,538000000.0
45-54,Education,USD,United States,21 - 30 years,11 - 20 years,PhD,Woman,130000.0,520000000.0
25-34,Legal,USD,United States,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,92500.0,370000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,111700.0,446800000.0
25-34,Technology,EUR,Germany,2 - 4 years,2 - 4 years,High School,Man,72000.0,324000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,Master's degree,Man,148500.0,594000000.0
45-54,Technology,GBP,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,130000.0,650000000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,320000.0,1280000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,305000.0,1220000000.0
25-34,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Man,76600.0,306400000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,Master's degree,Woman,116500.0,466000000.0
25-34,Marketing & PR,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,127000.0,508000000.0
55-64,Technology,USD,United States,21 - 30 years,11 - 20 years,PhD,Woman,80000.0,320000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,71000.0,284000000.0
25-34,Legal,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,67000.0,268000000.0
25-34,Other,EUR,Netherlands,1 year or less,1 year or less,Master's degree,Woman,40261.0,181174500.0
35-44,Technology,GBP,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Man,84000.0,420000000.0
35-44,Healthcare,USD,United States,11 - 20 years,5-7 years,College degree,Woman,33280.0,133120000.0
35-44,Other,USD,United States,11 - 20 years,11 - 20 years,High School,Man,100000.0,400000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,94800.0,379200000.0
35-44,Technology,USD,United States,1 year or less,5-7 years,Some college,Woman,65000.0,260000000.0
25-34,Real Estate,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,70300.0,281200000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,45000.0,180000000.0
18-24,Healthcare,CAD,Canada,5-7 years,2 - 4 years,Some college,Woman,23000.0,73600000.0
25-34,Legal,USD,United States,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,50000.0,200000000.0
25-34,Technology,USD,United States,11 - 20 years,11 - 20 years,High School,Man,474000.0,1896000000.0
18-24,Other,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,44000.0,176000000.0
35-44,Other,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,87000.0,348000000.0
25-34,Hospitality,GBP,United Kingdom,8 - 10 years,8 - 10 years,College degree,Woman,34000.0,170000000.0
35-44,Healthcare,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,48000.0,192000000.0
25-34,Technology,USD,Philippines,5-7 years,2 - 4 years,Some college,Woman,64000.0,256000000.0
25-34,Legal,USD,United States,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,104000.0,416000000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,61040.0,244160000.0
35-44,Manufacturing,USD,Other,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer,75000.0,300000000.0
65 or over,Media & Publishing,USD,United States,31 - 40 years,31 - 40 years,Master's degree,Man,119000.0,476000000.0
25-34,Healthcare,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,75000.0,300000000.0
35-44,Other,USD,United States,21 - 30 years,5-7 years,College degree,Woman,40000.0,160000000.0
25-34,Manufacturing,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,58760.0,235040000.0
25-34,Healthcare,USD,United States,2 - 4 years,1 year or less,Master's degree,Woman,77000.0,308000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,145000.0,580000000.0
35-44,Hospitality,GBP,United Kingdom,8 - 10 years,5-7 years,Some college,Woman,80000.0,400000000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,92344.0,369376000.0
25-34,Finance,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,120000.0,480000000.0
25-34,Arts & Culture,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,97000.0,388000000.0
25-34,Manufacturing,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Man,105000.0,420000000.0
25-34,Healthcare,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,79000.0,316000000.0
18-24,Finance,USD,United States,2 - 4 years,1 year or less,Master's degree,Woman,97000.0,388000000.0
35-44,Real Estate,CAD,Canada,11 - 20 years,5-7 years,Master's degree,Man,120000.0,384000000.0
25-34,Healthcare,CAD,Canada,2 - 4 years,2 - 4 years,Master's degree,Woman,72000.0,230400000.0
25-34,Technology,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,38000.0,152000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,148000.0,592000000.0
25-34,Legal,USD,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,132190.0,528760000.0
35-44,Government,EUR,Netherlands,11 - 20 years,11 - 20 years,College degree,Woman,65000.0,292500000.0
25-34,Manufacturing,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Man,136000.0,544000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,80000.0,320000000.0
35-44,Education,USD,United States,8 - 10 years,5-7 years,Master's degree,Other or prefer not to answer,50500.0,202000000.0
25-34,Technology,BRL,Brazil,8 - 10 years,5-7 years,High School,Woman,8602.0,6881600.0
25-34,Government,USD,United States,8 - 10 years,5-7 years,College degree,Woman,79719.0,318876000.0
45-54,Arts & Culture,EUR,Germany,21 - 30 years,21 - 30 years,College degree,Man,35000.0,157500000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,58500.0,234000000.0
35-44,Technology,GBP,United Kingdom,21 - 30 years,21 - 30 years,Some college,Woman,87000.0,435000000.0
25-34,Finance,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,298000.0,1192000000.0
25-34,Government,USD,United States,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,81000.0,324000000.0
25-34,Government,USD,United States,2 - 4 years,2 - 4 years,College degree,Non-binary,32000.0,128000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,57000.0,228000000.0
18-24,Finance,CAD,Canada,1 year or less,1 year or less,College degree,Woman,80000.0,256000000.0
35-44,Finance,USD,United States,21 - 30 years,21 - 30 years,College degree,Non-binary,116000.0,464000000.0
25-34,Government,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,47000.0,188000000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,84000.0,336000000.0
25-34,Other,CAD,Canada,2 - 4 years,2 - 4 years,College degree,Woman,96000.0,307200000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,Master's degree,Woman,90000.0,360000000.0
18-24,Government,USD,United States,2 - 4 years,1 year or less,College degree,Woman,46500.0,186000000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,126500.0,506000000.0
25-34,Technology,USD,United States,11 - 20 years,2 - 4 years,College degree,Woman,190300.0,761200000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,53000.0,212000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,Some college,Woman,74000.0,296000000.0
25-34,Arts & Culture,USD,United States,5-7 years,2 - 4 years,College degree,Woman,63000.0,252000000.0
25-34,Technology,USD,United States,5-7 years,2 - 4 years,College degree,Woman,140000.0,560000000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,49920.0,199680000.0
45-54,Retail & E-commerce,USD,United States,21 - 30 years,21 - 30 years,Some college,Man,35000.0,140000000.0
25-34,Finance,USD,United States,11 - 20 years,5-7 years,High School,Woman,32073.0,128292000.0
25-34,Transport & Logistics,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,56000.0,224000000.0
25-34,Technology,GBP,United Kingdom,8 - 10 years,5-7 years,Master's degree,Woman,88000.0,440000000.0
25-34,Pharmaceuticals,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,108000.0,432000000.0
25-34,Government,GBP,United Kingdom,8 - 10 years,2 - 4 years,High School,Woman,48195.0,240975000.0
25-34,Technology,GBP,United Kingdom,11 - 20 years,2 - 4 years,College degree,Woman,40000.0,200000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Man,280000.0,1120000000.0
25-34,Finance,GBP,United Kingdom,2 - 4 years,2 - 4 years,College degree,Woman,10500.0,52500000.0
25-34,Technology,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,42000.0,168000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Woman,96262.0,385048000.0
35-44,Technology,USD,United States,21 - 30 years,8 - 10 years,College degree,Woman,95500.0,382000000.0
25-34,Arts & Culture,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,367500.0,1470000000.0
25-34,Education,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,55224.0,220896000.0
25-34,Utilities & Telecommunications,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Man,110000.0,440000000.0
35-44,Tourism & Leisure,GBP,United Kingdom,21 - 30 years,8 - 10 years,Some college,Man,44500.0,222500000.0
35-44,Education,CAD,Canada,8 - 10 years,8 - 10 years,PhD,Woman,55000.0,176000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,109000.0,436000000.0
18-24,Technology,USD,United States,2 - 4 years,1 year or less,College degree,Woman,73000.0,292000000.0
65 or over,Finance,USD,United States,31 - 40 years,5-7 years,College degree,Woman,125000.0,500000000.0
